"","X","CustomerID","Spend","Bills","Visits","Qty","FreeQty","FPD","LPD","ATV","ABS","APP","CUTLERY_spend","CUTLERy_bills","DL_spend","DL_bills","DAILYUSE_spend","DAILYUSE_bills","HOD_spend","HOD_bills","ACC_spend","ACC_bills","FURN_spend","FURN_bills","STATIONARY_spend","STATIONARY_bills","Game_spend","Game_bills","BATH_spend","BATH_bills","UK_geo_purchaser","as.factor(k_P6$cluster)","as.factor(k_P6$cluster)","as.factor(k_P6$cluster)","k_P6$cluster"
"1",1,12346,77183.6,1,1,74215,0,"2011-01-18","2011-01-18",77183.6,74215,1.04,77183.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1","4","4",4
"2",4,12349,1757.55,1,1,631,0,"2011-11-21","2011-11-21",1757.55,631,2.78534072900158,735.67,1,59.9,1,142.35,1,351.25,1,85.2,1,36.5,1,46.68,1,0,0,0,0,0,"2","3","3",3
"3",5,12350,334.4,1,1,197,0,"2011-02-02","2011-02-02",334.4,197,1.69746192893401,78.7,1,0,0,52.2,1,83.1,1,80.4,1,0,0,0,0,0,0,0,0,0,"6","6","6",6
"4",7,12353,89,1,1,20,0,"2011-05-19","2011-05-19",89,20,4.45,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","2","2",2
"5",8,12354,1079.4,1,1,530,0,"2011-04-21","2011-04-21",1079.4,530,2.03660377358491,537.47,1,39.7,1,162.15,1,166.85,1,79.3,1,0,0,60.03,1,33.9,1,0,0,0,"5","1","1",1
"6",9,12355,459.4,1,1,240,0,"2011-05-09","2011-05-09",459.4,240,1.91416666666667,138.1,1,96.3,1,0,0,30,1,195,1,0,0,0,0,0,0,0,0,0,"6","6","6",6
"7",11,12357,6207.67,1,1,2708,0,"2011-11-06","2011-11-06",6207.67,2708,2.29234490398818,1941.34,1,712.16,1,1182,1,1741.47,1,245.7,1,23.8,1,351.12,1,10.08,1,0,0,0,"2","3","3",3
"8",15,12361,189.9,1,1,91,0,"2011-02-25","2011-02-25",189.9,91,2.08681318681319,55.2,1,0,0,70.2,1,0,0,49.5,1,0,0,0,0,0,0,0,0,0,"4","6","6",6
"9",19,12365,641.38,2,1,174,0,"2011-02-21","2011-02-21",320.69,87,3.68609195402299,65.85,1,44.6,1,15,1,137.74,1,0,0,0,0,348.19,2,30,1,0,0,0,"3","5","5",5
"10",20,12367,168.9,1,1,173,0,"2011-12-05","2011-12-05",168.9,173,0.976300578034682,0,0,0,0,70.2,1,9.9,1,27,1,0,0,33.6,1,10.2,1,0,0,0,"5","1","1",1
"11",24,12373,364.6,1,1,197,0,"2011-02-01","2011-02-01",364.6,197,1.8507614213198,72.9,1,0,0,17.7,1,0,0,234,1,0,0,0,0,0,0,0,0,0,"4","6","6",6
"12",25,12374,742.93,1,1,342,0,"2011-11-14","2011-11-14",742.93,342,2.17230994152047,129.32,1,50.55,1,61.7,1,169.68,1,40.8,1,0,0,151.08,1,19.8,1,0,0,0,"5","1","1",1
"13",28,12378,4008.62,1,1,2529,0,"2011-08-02","2011-08-02",4008.62,2529,1.58506128904705,1066.01,1,191.41,1,541.08,1,1013.17,1,576.31,1,85.05,1,450.09,1,85.5,1,0,0,0,"2","3","3",3
"14",36,12390,549.84,1,1,353,0,"2011-09-21","2011-09-21",549.84,353,1.55762039660057,226.04,1,30,1,50.2,1,0,0,0,0,0,0,117,1,81.6,1,0,0,0,"5","1","1",1
"15",37,12391,460.89,1,1,300,0,"2011-11-18","2011-11-18",460.89,300,1.5363,41.8,1,88.25,1,6.25,1,46.99,1,95.54,1,3.75,1,150.11,1,28.2,1,0,0,0,"2","3","3",3
"16",42,12398,1635.66,1,1,1394,0,"2011-10-25","2011-10-25",1635.66,1394,1.17335724533716,303.1,1,135.48,1,146.7,1,228.46,1,119.22,1,253.8,1,233.9,1,15,1,0,0,0,"2","3","3",3
"17",44,12401,84.3,1,1,11,0,"2011-02-09","2011-02-09",84.3,11,7.66363636363636,36.45,1,0,0,0,0,32.85,1,0,0,0,0,0,0,0,0,0,0,0,"4","2","2",2
"18",45,12402,225.6,1,1,94,0,"2011-01-20","2011-01-20",225.6,94,2.4,45.3,1,0,0,35.1,1,17.7,1,97.5,1,0,0,0,0,0,0,0,0,0,"6","6","6",6
"19",46,12403,427.7,1,1,96,0,"2011-10-21","2011-10-21",427.7,96,4.45520833333333,381.8,1,0,0,0,0,9.9,1,0,0,0,0,0,0,0,0,0,0,0,"4","2","2",2
"20",47,12405,1710.39,1,1,857,0,"2011-07-14","2011-07-14",1710.39,857,1.99578763127188,505.33,1,34.68,1,122.88,1,367.75,1,104.1,1,105.6,1,150.05,1,0,0,0,0,0,"2","3","3",3
"21",52,12410,693.33,2,1,211,0,"2011-02-04","2011-02-04",346.665,105,3.28592417061611,197.7,1,0,0,79.2,1,231.5,2,0,0,14.85,1,10.08,1,0,0,0,0,0,"3","5","5",5
"22",58,12418,668.58,1,1,407,0,"2011-08-19","2011-08-19",668.58,407,1.6427027027027,278.04,1,0,0,0,0,175.44,1,59.4,1,0,0,104.28,1,51.42,1,0,0,0,"5","1","1",1
"23",59,12420,600.39,1,1,345,0,"2011-10-07","2011-10-07",600.39,345,1.74026086956522,345.84,1,0,0,33.9,1,175.8,1,30,1,0,0,14.85,1,0,0,0,0,0,"5","1","1",1
"24",63,12424,1760.96,2,1,740,0,"2011-06-30","2011-06-30",880.48,370,2.37967567567568,614.19,2,0,0,332.1,1,455.87,2,118.8,1,27.3,1,197.7,1,15,1,0,0,0,"3","5","5",5
"25",64,12425,777.2,1,1,496,0,"2011-09-22","2011-09-22",777.2,496,1.56693548387097,287.3,1,26.56,1,90.18,1,61.86,1,251.3,1,0,0,60,1,0,0,0,0,0,"6","1","1",1
"26",65,12426,582.73,1,1,258,0,"2011-05-29","2011-05-29",582.73,258,2.25864341085271,298.15,1,10.2,1,59.3,1,103.08,1,40,1,0,0,0,0,0,0,0,0,0,"6","6","6",6
"27",69,12430,256.4,1,1,117,0,"2011-10-27","2011-10-27",256.4,117,2.19145299145299,52.68,1,90.96,1,47.8,1,0,0,0,0,0,0,24.96,1,0,0,0,0,0,"6","6","6",6
"28",75,12436,509.01,1,1,211,0,"2011-09-01","2011-09-01",509.01,211,2.41236966824645,217.26,1,0,0,0,0,123.1,1,39.6,1,0,0,49.05,1,0,0,0,0,0,"6","6","6",6
"29",78,12441,173.55,1,1,121,0,"2010-12-08","2010-12-08",173.55,121,1.43429752066116,23.25,1,15,1,0,0,35.4,1,0,0,0,0,81.9,1,0,0,0,0,0,"6","6","6",6
"30",79,12442,172.06,1,1,182,0,"2011-12-06","2011-12-06",172.06,182,0.945384615384615,18,1,30,1,32.76,1,17.4,1,0,0,0,0,45.9,1,0,0,0,0,0,"6","6","6",6
"31",81,12445,133.4,1,1,62,0,"2011-11-17","2011-11-17",133.4,62,2.15161290322581,0,0,60,1,0,0,17.4,1,0,0,0,0,0,0,0,0,0,0,0,"4","2","2",2
"32",82,12446,1002.31,1,1,351,1,"2011-10-13","2011-10-13",1002.31,351,2.85558404558405,308.74,1,11.7,1,49.8,1,311.94,1,201.75,1,40.8,1,27.5,1,50.08,1,0,0,0,"2","3","3",3
"33",83,12447,476.49,1,1,190,0,"2011-04-10","2011-04-10",476.49,190,2.50784210526316,274.29,1,0,0,66.6,1,31.8,1,58.8,1,0,0,0,0,0,0,0,0,0,"6","6","6",6
"34",84,12448,449.45,1,1,243,0,"2011-10-26","2011-10-26",449.45,243,1.84958847736626,92.19,1,0,0,109.68,1,38.58,1,0,0,65,1,60,1,0,0,0,0,0,"6","6","6",6
"35",88,12452,430.57,2,1,185,0,"2011-11-23","2011-11-23",215.285,92,2.32740540540541,72.8,1,44.48,1,48.45,1,17.7,1,49.8,1,61.2,1,45.74,1,8.4,1,0,0,0,"3","5","5",5
"36",89,12453,707.09,1,1,473,0,"2011-07-28","2011-07-28",707.09,473,1.49490486257928,178.74,1,30,1,62.1,1,148.05,1,117.2,1,15.3,1,155.7,1,0,0,0,0,0,"2","3","3",3
"37",90,12454,3528.34,1,1,1006,0,"2011-10-14","2011-10-14",3528.34,1006,3.50729622266402,416.8,1,1744.14,1,712,1,367.2,1,0,0,288.2,1,0,0,0,0,0,0,0,"2","3","3",3
"38",105,12475,723.38,1,1,535,0,"2011-10-17","2011-10-17",723.38,535,1.35211214953271,89.25,1,57.75,1,84.6,1,82.8,1,157.84,1,0,0,172.14,1,25,1,0,0,0,"5","1","1",1
"39",108,12478,680.99,1,1,236,0,"2011-12-06","2011-12-06",680.99,236,2.88555084745763,173.15,1,58.98,1,93.9,1,47.4,1,66,1,0,0,89.96,1,16.6,1,0,0,0,"5","1","1",1
"40",109,12479,527.2,1,1,385,0,"2011-11-28","2011-11-28",527.2,385,1.36935064935065,227.06,1,0,0,40.2,1,34.8,1,0,0,0,0,171.14,1,0,0,0,0,0,"6","6","6",6
